id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,და</w>,187,3013,16.112299465240643
1,1,მა,346,1825,5.27456647398844
2,1,არ,453,1698,3.748344370860927
3,1,სა</w>,534,1538,2.8801498127340825
4,2,მე,236,1066,4.516949152542373
5,2,თა</w>,338,1019,3.014792899408284
6,2,მი,298,1002,3.3624161073825505
7,2,სა,388,771,1.987113402061856
8,2,ვი,249,969,3.891566265060241
9,2,მო,433,921,2.1270207852194
10,2,ეს</w>,350,889,2.54
11,2,ან,423,834,1.9716312056737588
12,2,ქუ,92,751,8.16304347826087
13,2,ებ,464,736,1.5862068965517242
14,2,ელ,302,1029,3.4072847682119205
15,2,რა,171,842,4.923976608187134
16,2,ნი</w>,209,700,3.349282296650718
17,2,იგ,68,639,9.397058823529411
18,2,შე,241,611,2.5352697095435683
19,2,ეს,189,716,3.788359788359789
20,2,და,313,493,1.5750798722044728
21,2,ყო,111,502,4.5225225225225225
22,2,მას</w>,3,493,164.33333333333334
23,2,იგი</w>,20,477,23.85
24,2,რო,105,480,4.571428571428571
25,2,დეს</w>,168,441,2.625
26,2,თა,230,770,3.347826086956522
27,2,ლი,259,468,1.806949806949807
28,2,ერ,151,480,3.178807947019868
29,2,გა,463,818,1.7667386609071274
30,2,ად</w>,195,459,2.353846153846154
31,0,ხო,44,361,8.204545454545455
32,2,ლი</w>,167,547,3.275449101796408
33,0,მათ</w>,3,348,116.0
34,2,ენ</w>,110,455,4.136363636363637
35,0,ცა</w>,105,343,3.2666666666666666
36,2,გან,229,339,1.480349344978166
37,2,ინ,173,516,2.9826589595375723
38,0,ჰრ,21,335,15.952380952380953
39,0,მან</w>,84,332,3.952380952380953
40,0,ლო</w>,13,332,25.53846153846154
41,0,რომე,29,324,11.172413793103448
42,0,ქუა</w>,8,312,39.0
43,2,მის,73,433,5.931506849315069
44,0,ხოლო</w>,3,301,100.33333333333331
45,2,ვა,225,515,2.2888888888888888
46,0,იყ,68,366,5.382352941176471
47,0,ველ,64,281,4.390625
48,0,თუ</w>,6,275,45.833333333333336
49,0,თქუ,37,307,8.297297297297296
50,0,ჰრქუა</w>,2,264,132.0
51,2,ენ,176,482,2.738636363636364
52,2,ისა,208,348,1.6730769230769231
53,0,ვით,24,277,11.541666666666666
54,0,კუ,70,235,3.357142857142857
55,0,თჳ,54,233,4.314814814814815
56,0,ვითარ,11,228,20.727272727272727
57,0,არს</w>,3,227,75.66666666666667
58,0,მე</w>,30,222,7.4
59,0,რომელ,27,306,11.333333333333334
60,0,არა</w>,11,219,19.90909090909091
61,0,აღ,126,247,1.96031746031746
62,0,რამე,3,272,90.66666666666669
63,0,რამეთუ</w>,1,214,214.0
64,2,რი,189,417,2.2063492063492065
65,0,იეს,10,205,20.5
66,2,ნა,211,436,2.066350710900474
67,0,ილ,140,334,2.3857142857142857
68,2,ულ,214,391,1.8271028037383177
69,0,ით</w>,131,245,1.870229007633588
70,0,ტყ,72,331,4.597222222222222
71,0,რაჲ,33,192,5.818181818181818
72,0,სი,96,221,2.302083333333333
73,2,ალ,183,442,2.4153005464480874
74,0,რთ,111,342,3.081081081081081
75,0,დგ,73,185,2.5342465753424657
76,2,აჲ</w>,201,549,2.7313432835820897
77,0,გან</w>,87,180,2.0689655172413794
78,0,ზე,28,184,6.571428571428571
79,0,იესუ</w>,1,168,168.0
80,2,ნა</w>,97,449,4.628865979381444
81,2,დე,356,792,2.224719101123596
82,0,წარ,81,164,2.0246913580246915
83,0,აც,98,239,2.438775510204082
84,0,უფ,38,159,4.184210526315789
85,2,ის,509,1248,2.4518664047151275
86,0,ყოველ,12,156,13.0
87,0,იყო</w>,6,159,26.5
