id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,예수,118,393,3.330508474576271
1,1,에게</w>,76,300,3.947368421052632
2,1,께서</w>,98,273,2.7857142857142856
3,1,예수께서</w>,89,250,2.808988764044944
4,2,니라</w>,50,89,1.78
5,1,하여</w>,77,245,3.1818181818181817
6,1,하시,147,241,1.6394557823129252
7,1,너희,28,225,8.035714285714286
8,1,사람,51,222,4.352941176470588
9,1,이르,31,193,6.225806451612903
10,1,하나,38,180,4.7368421052631575
11,1,들이</w>,74,166,2.2432432432432434
12,1,저희,54,165,3.055555555555556
13,2,로되</w>,7,134,19.142857142857142
14,2,가로되</w>,5,132,26.4
15,2,에서</w>,64,128,2.0
16,0,더라</w>,12,13,1.0833333333333333
17,2,리라</w>,40,63,1.575
18,2,시되</w>,17,134,7.882352941176471
19,2,것을</w>,6,117,19.5
20,2,하는</w>,37,116,3.135135135135135
21,2,내가</w>,21,116,5.523809523809524
22,2,이르시되</w>,8,109,13.625
23,2,으로</w>,59,111,1.88135593220339
24,2,하고</w>,41,81,1.975609756097561
25,2,아니,67,111,1.6567164179104477
26,2,라사,22,117,5.318181818181818
27,2,하였,82,106,1.2926829268292683
28,2,하나님,17,105,6.176470588235294
29,2,라사대</w>,6,98,16.333333333333332
30,2,가라사대</w>,6,98,16.333333333333332
31,2,때에</w>,6,102,17.0
32,2,자들,46,155,3.369565217391304
33,2,저희가</w>,34,83,2.4411764705882355
34,2,이다</w>,53,67,1.2641509433962264
35,0,느니라</w>,23,46,2.0
36,2,하라</w>,31,60,1.935483870967742
37,2,말씀,25,80,3.2
38,2,사람이</w>,10,79,7.9
39,2,느냐</w>,42,72,1.7142857142857142
40,2,너희에게</w>,1,74,74.0
41,2,자가</w>,15,72,4.8
42,2,모든</w>,4,73,18.25
43,2,시고</w>,32,87,2.71875
44,2,들어,31,69,2.225806451612903
45,2,함께</w>,3,67,22.33333333333333
46,2,기를</w>,38,66,1.736842105263158
47,2,리가</w>,16,66,4.125
48,2,것이</w>,8,66,8.25
49,2,것이,36,64,1.7777777777777777
50,0,지라</w>,14,20,1.4285714285714286
51,2,너희가</w>,4,63,15.75
52,0,와서</w>,7,54,7.714285714285714
53,2,그러,33,60,1.818181818181818
54,0,하시니</w>,4,28,7.0
55,0,하시고</w>,12,27,2.25
56,0,하니</w>,15,27,1.8
57,2,이에</w>,34,57,1.6764705882352942
58,2,말하,19,67,3.526315789473684
59,0,하나님의</w>,2,56,28.0
60,0,자는</w>,7,54,7.714285714285714
61,0,이는</w>,12,56,4.666666666666667
62,0,너희</w>,8,56,7.0
63,2,들어가,24,55,2.2916666666666665
64,0,자들이</w>,19,53,2.789473684210526
65,0,예수를</w>,5,53,10.6
66,2,에게,29,53,1.827586206896552
67,0,나를</w>,3,59,19.666666666666668
68,0,대답,18,52,2.888888888888889
69,0,하며</w>,33,45,1.3636363636363635
70,2,제자들,20,82,4.1
71,0,이라</w>,32,43,1.34375
72,0,으니</w>,23,39,1.6956521739130437
73,0,노니</w>,11,50,4.545454545454546
74,0,있는</w>,2,49,24.5
75,0,하시니라</w>,2,2,1.0
76,0,하리라</w>,12,28,2.333333333333333
77,0,하면</w>,15,47,3.1333333333333333
78,0,귀신,15,47,3.1333333333333333
79,0,일어,17,46,2.7058823529411766
80,0,일을</w>,3,45,15.0
81,0,보내,20,45,2.25
82,0,무엇,12,44,3.6666666666666665
83,0,거늘</w>,11,13,1.181818181818182
84,0,도다</w>,24,29,1.2083333333333333
85,0,나라,11,44,4.0
86,0,그리,22,42,1.9090909090909087
87,0,하더라</w>,5,5,1.0
88,0,말라</w>,3,32,10.666666666666666
89,0,는지라</w>,10,16,1.6
90,0,나이다</w>,29,39,1.3448275862068966
91,0,저희에게</w>,4,40,10.0
92,0,이까</w>,29,40,1.3793103448275863
93,2,들을</w>,25,59,2.36
94,0,하지</w>,23,42,1.826086956521739
95,0,므로</w>,28,39,1.3928571428571428
96,0,들과</w>,22,52,2.363636363636364
97,0,리니</w>,21,32,1.5238095238095235
98,0,더니</w>,10,13,1.3
99,0,나가,25,38,1.52
100,0,요한,15,37,2.466666666666667
101,2,시니</w>,19,56,2.9473684210526314
102,0,사람들이</w>,11,37,3.363636363636364
103,0,시며</w>,17,32,1.8823529411764703
104,0,가지,14,37,2.642857142857143
105,0,보고</w>,2,32,16.0
106,0,다가</w>,18,29,1.6111111111111112
107,0,자기,13,44,3.3846153846153846
108,0,예수께</w>,2,34,17.0
109,0,제사,18,33,1.8333333333333333
110,2,우리,16,66,4.125
111,0,새인,19,33,1.736842105263158
112,0,베드,14,33,2.357142857142857
113,0,베드로,14,33,2.357142857142857
114,0,바리,19,33,1.736842105263158
115,0,바리새인,19,33,1.736842105263158
116,2,못하,43,69,1.6046511627906976
117,0,말씀을</w>,2,33,16.5
118,0,대답하여</w>,6,33,5.5
119,0,가서</w>,7,40,5.714285714285714
120,0,제자들이</w>,12,32,2.6666666666666665
121,0,어찌,4,32,8.0
122,0,같이</w>,6,32,5.333333333333333
123,0,중에</w>,2,31,15.5
124,0,제사장,17,31,1.8235294117647056
125,0,에는</w>,15,31,2.066666666666667
126,0,소서</w>,16,29,1.8125
127,0,만일</w>,10,31,3.1
128,0,너희는</w>,8,31,3.875
129,0,나니</w>,14,24,1.7142857142857142
130,0,있으,15,39,2.6
131,0,위하여</w>,2,30,15.0
132,0,어찌하여</w>,2,30,15.0
133,2,무리,20,57,2.85
134,0,든지</w>,15,30,2.0
135,0,하늘,15,29,1.9333333333333331
136,0,듣고</w>,2,29,14.5
137,0,기도,20,29,1.45
138,0,주인,17,28,1.6470588235294117
139,0,저를</w>,1,28,28.0
140,0,자를</w>,12,28,2.333333333333333
141,0,이여</w>,11,28,2.5454545454545454
142,0,서기,11,28,2.5454545454545454
143,0,리고</w>,11,32,2.909090909090909
144,0,대제사장,14,28,2.0
145,0,가르,21,28,1.3333333333333333
146,0,집에</w>,3,27,9.0
147,0,우리가</w>,1,27,27.0
148,2,아니하,50,84,1.68
