id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,်​,4895,5437,1.1107252298263537
1,1,ို,3419,3677,1.075460661011992
2,1,း​,3347,3502,1.0463101284732597
3,1,ော,2952,3435,1.1636178861788615
4,1,​သ,3299,3416,1.0354652925128829
5,2,င်​,1869,1980,1.059390048154093
6,2,အ​,1762,1873,1.0629965947786606
7,2,ား​,1677,1747,1.041741204531902
8,2,တော,1419,1738,1.2248062015503876
9,2,ို့,1609,1670,1.037911746426352
10,2,​ရ,2122,2275,1.0721017907634307
11,1,​မ,2773,3043,1.0973674720519293
12,2,ကို,1523,1641,1.077478660538411
13,2,က်​,1444,1516,1.049861495844875
14,2,်း​,1419,1458,1.0274841437632136
15,2,ကြ,1318,1457,1.10546282245827
16,2,တော်​,1184,1464,1.2364864864864864
17,2,ည်​,1489,1518,1.0194761584956349
18,2,ူ​,1641,1900,1.157830591102986
19,2,့်​,1229,1402,1.140764849471115
20,2,​လ,2036,2158,1.0599214145383105
21,2,တို့,1039,1089,1.0481231953801733
22,2,​ပ,2006,2063,1.0284147557328016
23,2,ယ်​,822,936,1.1386861313868613
24,2,င်း​,850,869,1.022352941176471
25,2,စ်​,839,855,1.0190703218116806
26,2,ာ​,1904,1974,1.036764705882353
27,2,​အ​,1367,1413,1.033650329188003
28,0,တ်​,702,715,1.0185185185185186
29,0,န်​,684,701,1.024853801169591
30,2,​ခ,1519,1629,1.0724160631994732
31,2,​န,1427,1488,1.0427470217238963
32,2,​၏</w>,972,1360,1.3991769547325104
33,0,ောက်​,624,688,1.1025641025641026
34,0,တော်​မ,502,679,1.3525896414342629
35,2,​သည်​,1131,1145,1.0123784261715296
36,1,​တ,2951,3309,1.1213148085394782
37,0,င့်​,577,587,1.0173310225303294
38,0,ည်</w>,520,615,1.1826923076923077
39,2,​ကြ,1211,1298,1.0718414533443434
40,2,သည်​,1220,1237,1.0139344262295082
41,0,ထို,553,589,1.0650994575045207
42,0,ကိုယ်​,459,560,1.2200435729847494
43,2,ပြ,843,880,1.0438908659549229
44,0,ဖြ,527,543,1.0303605313092978
45,0,တော်​မူ​,440,616,1.4
46,0,ျား​,496,497,1.002016129032258
47,2,​ရှ,755,841,1.113907284768212
48,0,ဟု,289,507,1.754325259515571
49,0,ျှ,422,498,1.180094786729858
50,0,ပ်​,459,464,1.010893246187364
51,0,``</w>,10,503,50.3
52,2,တို့​,1024,1074,1.048828125
53,0,ီး​,441,458,1.038548752834467
54,0,ေး​,400,440,1.1
55,0,ကိုယ်​တော်​,381,471,1.236220472440945
56,2,ရှ,824,917,1.1128640776699028
57,0,ိမ,415,428,1.0313253012048194
58,0,သို့,596,608,1.0201342281879195
59,0,''</w>,1,410,410.0
60,0,်း</w>,373,421,1.128686327077748
61,0,တွ,544,558,1.025735294117647
62,0,ည့်​,389,407,1.0462724935732648
63,1,​က,2923,3060,1.0468696544645912
64,0,ား</w>,349,404,1.157593123209169
65,0,​ပြ,747,771,1.0321285140562249
66,0,င်</w>,329,396,1.203647416413374
67,0,နှ,536,551,1.0279850746268655
68,0,သင်​,376,403,1.071808510638298
69,0,ုံ,331,334,1.0090634441087614
70,0,အား​,338,348,1.029585798816568
71,2,​စ,952,959,1.0073529411764706
72,0,မှ,475,478,1.0063157894736845
73,2,သူ​,776,818,1.0541237113402062
74,0,ချ,367,376,1.0245231607629428
75,0,တော်​မူ​၏</w>,163,334,2.049079754601227
76,0,န့်​,187,325,1.7379679144385027
77,0,ကျ,375,387,1.032
78,0,ေါ,297,300,1.0101010101010102
79,0,​မိ,300,425,1.4166666666666667
80,0,တို့​သည်​,299,307,1.0267558528428091
81,0,ု​ရ,341,389,1.1407624633431086
82,0,ဖြစ်​,291,300,1.0309278350515465
83,0,​ခင်​,244,299,1.225409836065574
84,0,့်</w>,264,293,1.1098484848484849
85,0,​ဆ,629,673,1.0699523052464228
86,0,ငါ,268,278,1.037313432835821
87,0,များ​,480,481,1.0020833333333334
88,0,ည်း​,259,274,1.057915057915058
89,0,နေ,531,558,1.0508474576271187
90,0,တွင်​,346,350,1.0115606936416186
91,0,မြ,405,409,1.0098765432098766
92,0,ိုး​,263,265,1.0076045627376429
93,0,မ်း​,293,298,1.0170648464163825
94,0,တစ်​,318,323,1.0157232704402517
95,0,ကြ​၏</w>,301,404,1.3421926910299002
96,0,​သူ​,600,613,1.0216666666666667
97,0,​သော,462,464,1.0043290043290043
98,0,သ​ခင်​,229,284,1.240174672489083
99,0,လျှ,298,373,1.251677852348993
100,0,က်</w>,228,256,1.1228070175438596
101,1,ု​,2436,2792,1.1461412151067325
102,0,ောင်း​,305,314,1.0295081967213116
103,0,ို</w>,225,253,1.1244444444444444
104,0,မိ,336,484,1.4404761904761905
105,0,သော,510,522,1.0235294117647058
106,0,ျက်​,263,266,1.011406844106464
107,2,ကို​,1154,1160,1.0051993067590987
108,0,ပါ,322,334,1.0372670807453417
109,0,ောင်​,236,241,1.021186440677966
110,0,ဘု​ရ,182,223,1.2252747252747254
111,2,သူ,862,906,1.051044083526682
112,0,င့်</w>,196,216,1.1020408163265305
113,0,​များ​,438,439,1.0022831050228311
114,0,ိုင်​,235,243,1.0340425531914894
115,0,​သည်</w>,277,324,1.1696750902527075
116,0,ည်း</w>,176,205,1.1647727272727273
117,0,​အ​ခ,308,337,1.094155844155844
118,0,ယေ,335,387,1.155223880597015
119,0,ို့</w>,180,203,1.1277777777777778
120,0,စေ,285,288,1.0105263157894735
121,0,​နှ,492,502,1.0203252032520325
122,2,့​,2006,2074,1.0338983050847457
123,0,ော့</w>,150,187,1.2466666666666666
124,0,နှင့်​,254,261,1.0275590551181102
125,0,ကို</w>,193,205,1.0621761658031088
126,0,ိမ်​,171,172,1.0058479532163742
127,0,ရှိ,320,334,1.04375
128,0,​သို့,414,416,1.0048309178743962
129,0,လူ​,288,291,1.0104166666666667
130,0,ိမ့်​,164,176,1.0731707317073171
131,0,ော</w>,150,171,1.14
132,0,ုပ်​,153,157,1.026143790849673
133,0,ယေ​ရှ,126,170,1.3492063492063493
134,0,မည်</w>,208,233,1.1201923076923077
135,0,ုံး​,165,165,1.0
136,2,​အ,1961,2028,1.0341662417134114
137,0,ေါ်​,160,163,1.01875
138,0,င်း</w>,148,167,1.1283783783783785
139,0,ွား​,156,165,1.0576923076923077
140,0,ခြ,219,225,1.0273972602739727
141,0,ော​,723,752,1.0401106500691564
142,0,​ရှိ,285,293,1.0280701754385966
143,0,ဘု​ရား​,137,158,1.1532846715328466
144,0,​မြ,353,357,1.0113314447592068
145,0,​ပည့်​,139,156,1.1223021582733812
146,0,ဘယ်​,145,153,1.0551724137931036
147,0,​ရာ​,333,353,1.06006006006006
148,0,တော်</w>,114,150,1.3157894736842106
149,0,​တွ,491,503,1.0244399185336048
150,0,ံ​,553,562,1.01627486437613
151,0,န့်​တော်​မူ​၏</w>,19,146,7.684210526315789
152,0,စွ,164,166,1.0121951219512195
153,0,ကိုယ်​တော်​သည်​,145,145,1.0
154,1,င်,2426,2571,1.0597691673536689
155,0,ိမ့်​မည်</w>,132,143,1.0833333333333333
156,0,သည်</w>,284,351,1.2359154929577465
157,0,ိုက်​,148,150,1.0135135135135136
158,0,​ကြ​၏</w>,300,370,1.2333333333333334
159,0,ဲ့,145,146,1.006896551724138
160,0,တို့​အား​,134,138,1.0298507462686568
161,0,ိတ်​,143,146,1.020979020979021
162,0,​မှ,438,441,1.0068493150684932
163,0,​ဖြ,485,495,1.0206185567010309
164,2,မျ,821,829,1.0097442143727162
165,0,​ဆို,171,201,1.1754385964912282
166,0,ူး​,127,127,1.0
167,0,​ယ,508,556,1.094488188976378
168,0,န်း​,125,125,1.0
169,0,​ထ,735,753,1.0244897959183674
170,0,ဟု​မိ,11,128,11.636363636363637
171,0,​လော့</w>,144,162,1.125
172,0,သ​ခင်​ယေ​ရှ,109,152,1.3944954128440368
173,0,အ​ဘယ်​,145,153,1.0551724137931036
174,0,​ပည့်​တော်​,109,124,1.1376146788990826
175,0,ထို​န,106,122,1.150943396226415
176,0,​လျှ,275,327,1.1890909090909092
177,0,​သူ,642,655,1.0202492211838006
178,0,ာ​ရ,212,221,1.0424528301886793
179,0,ောင့်​,116,116,1.0
180,0,ကျွ,123,132,1.0731707317073171
181,0,တ်</w>,109,115,1.055045871559633
182,0,​ဝ,343,347,1.0116618075801749
183,0,ယောက်​,108,111,1.0277777777777777
