id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,ng</w>,448,6090,13.59375
1,1,ang</w>,217,3342,15.400921658986174
2,1,na,827,2805,3.391777509068924
3,1,ka,516,2517,4.877906976744186
4,1,ma,699,2353,3.3662374821173104
5,2,pa,567,1863,3.2857142857142856
6,2,sa</w>,36,1843,51.19444444444444
7,2,la,405,1782,4.4
8,2,ni,185,1587,8.578378378378378
9,2,si,157,1265,8.05732484076433
10,2,ta,378,1213,3.208994708994709
11,2,ng,275,1072,3.898181818181818
12,2,sa,301,1268,4.212624584717608
13,2,at</w>,63,1355,21.50793650793651
14,2,ga</w>,34,1117,32.85294117647059
15,2,mga</w>,1,944,944.0
16,2,ba,228,884,3.877192982456141
17,2,ga,333,1074,3.225225225225225
18,2,li,308,788,2.5584415584415585
19,2,ha,263,877,3.334600760456274
20,2,ny,29,812,28.0
21,2,su,76,753,9.907894736842104
22,2,na</w>,24,758,31.58333333333333
23,2,ong</w>,108,701,6.4907407407407405
24,2,la</w>,90,695,7.722222222222222
25,2,hi,130,637,4.9
26,2,it,163,837,5.134969325153374
27,2,an</w>,484,1484,3.066115702479338
28,2,ya</w>,26,674,25.923076923076923
29,0,pi,197,532,2.700507614213198
30,0,je,5,521,104.2
31,0,da,144,547,3.798611111111111
32,0,nag,266,558,2.097744360902256
33,0,jesu,3,492,164.0
34,0,jesus</w>,1,490,490.0
35,0,tu,125,455,3.64
36,0,ti,177,525,2.9661016949152543
37,0,on</w>,65,474,7.292307692307692
38,0,pag,185,492,2.6594594594594594
39,0,ki,132,524,3.9696969696969697
40,2,ya,156,889,5.698717948717949
41,0,ra,134,458,3.417910447761194
42,0,bi,139,392,2.820143884892086
43,0,wa,129,489,3.7906976744186047
44,0,bi</w>,27,387,14.333333333333334
45,0,nd,72,434,6.027777777777778
46,2,in</w>,184,651,3.5380434782608696
47,0,mag,157,413,2.6305732484076434
48,0,sina,23,390,16.956521739130434
49,0,lang</w>,44,354,8.045454545454545
50,2,iy,38,1042,27.42105263157895
51,0,uma,126,514,4.079365079365079
52,2,ay</w>,106,1015,9.575471698113208
53,0,ni</w>,5,339,67.8
54,0,kany,5,337,67.4
55,0,’y</w>,53,332,6.264150943396227
56,0,nyo</w>,6,331,55.16666666666666
57,0,mu,71,308,4.338028169014085
58,0,bu,94,313,3.3297872340425534
59,0,si</w>,10,303,30.3
60,0,os</w>,30,290,9.666666666666666
61,0,ito</w>,16,359,22.4375
62,0,ri,64,410,6.40625
63,0,nila</w>,2,273,136.5
64,0,kay,20,400,20.0
65,0,niya</w>,1,258,258.0
66,0,sinabi</w>,4,255,63.75
67,0,ndi</w>,5,236,47.2
68,0,lu,102,283,2.7745098039215685
69,0,nang</w>,13,229,17.615384615384617
70,0,pu,85,243,2.8588235294117648
71,0,ku,48,243,5.0625
72,0,mi,82,241,2.9390243902439024
73,0,kanyang</w>,2,221,110.5
74,0,siya</w>,1,217,217.0
75,0,no,55,353,6.418181818181818
76,0,hindi</w>,2,217,108.5
77,0,is,131,548,4.183206106870229
78,0,ninyo</w>,1,210,210.0
79,0,nu,102,240,2.3529411764705883
80,0,pagka,38,209,5.5
81,2,ala,246,907,3.686991869918699
82,0,ta</w>,60,316,5.266666666666667
83,0,ko</w>,12,199,16.583333333333332
84,0,wa</w>,51,192,3.764705882352941
85,0,man</w>,29,216,7.448275862068965
86,0,no</w>,32,184,5.75
87,0,may</w>,2,184,92.0
88,0,isang</w>,4,184,46.0
89,0,ngu,7,170,24.285714285714285
90,0,nit</w>,8,171,21.375
91,0,diy,4,174,43.5
92,0,pang,32,170,5.3125
93,0,diyos</w>,2,167,83.5
94,0,ngunit</w>,3,166,55.333333333333336
95,0,tao</w>,4,160,40.0
96,0,kayo</w>,2,156,78.0
97,0,hu,56,159,2.8392857142857144
98,0,ri</w>,25,155,6.2
99,0,pang</w>,6,154,25.666666666666668
100,0,ot</w>,40,155,3.875
101,0,pina,120,215,1.7916666666666667
102,0,mang</w>,19,145,7.631578947368421
103,0,po</w>,13,144,11.076923076923077
104,0,gi,120,432,3.6
105,0,ro</w>,19,140,7.368421052631579
106,0,pa</w>,9,140,15.555555555555555
107,0,sila</w>,1,138,138.0
108,0,lala,41,142,3.463414634146341
109,0,nong</w>,19,137,7.2105263157894735
110,0,gad</w>,7,136,19.428571428571427
111,0,kasa,39,135,3.4615384615384617
112,0,to</w>,27,416,15.407407407407408
113,0,kung</w>,2,131,65.5
114,0,ro,27,125,4.62962962962963
115,0,kay</w>,12,127,10.583333333333334
116,0,ka</w>,9,125,13.88888888888889
117,0,upang</w>,1,123,123.0
118,0,san</w>,40,128,3.2
119,0,o’y</w>,19,123,6.473684210526316
120,0,nan</w>,37,122,3.2972972972972974
121,0,nga</w>,18,121,6.722222222222222
122,0,naka,74,146,1.972972972972973
123,0,kit,29,121,4.172413793103448
124,0,’t</w>,11,119,10.818181818181818
125,0,ma</w>,24,119,4.958333333333333
126,0,ara,84,349,4.154761904761905
127,0,noon</w>,5,117,23.4
128,0,hat</w>,3,117,39.0
129,0,nyong</w>,3,115,38.333333333333336
130,0,kanya</w>,2,115,57.5
131,0,han</w>,53,115,2.169811320754717
132,0,yang</w>,16,344,21.5
133,0,hay</w>,16,113,7.0625
134,0,ling</w>,30,112,3.733333333333333
135,0,kita</w>,21,112,5.333333333333333
136,0,aki,82,435,5.304878048780488
137,0,kanila</w>,1,110,110.0
138,0,lahat</w>,1,110,110.0
139,0,ba</w>,19,110,5.789473684210527
140,0,sabi</w>,14,109,7.785714285714286
141,0,nilang</w>,3,108,36.0
142,0,naman</w>,1,108,108.0
143,0,alagad</w>,1,106,106.0
144,0,wag</w>,8,106,13.25
145,0,yan</w>,45,130,2.888888888888889
146,0,kaya,10,112,11.2
147,0,di,51,356,6.980392156862745
148,0,ting</w>,19,103,5.421052631578948
149,0,mo</w>,11,101,9.181818181818182
150,0,lang,33,102,3.090909090909091
151,0,kapa,40,151,3.775
152,0,ana,101,353,3.495049504950495
153,0,tina,24,115,4.791666666666667
