Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Country_ID,Source
Arabic (Egyptian),Africa,30.0,31.0,egyp1253,arz,Afro-Asiatic,,Semitic,cdd0000,arz,EG,Abdel-Massih-et-al-1979 Brustad-2000 Eisele-1999 Gary-and-Gamal-Eldin-1982 Kennedy-1960 Malherbe-and-Rosenberg-1996 McCarthy-1979a McCarthy-1979b Mitchell-1956 Mitchell-1962 Mitchell-and-Al-Hassan-1994 Moravcsik-1978 Tomiche-1964 Wise-1975
Alamblak,Papunesia,-4.66666666667,143.333333333,alam1246,amp,Sepik,,Sepik Hill,dff66ff,amp,PG,Bruce-1984 Nichols-1992
Amele,Papunesia,-5.25,145.583333333,amel1241,aey,Trans-New Guinea,,Madang,cff6600,aey,PG,Nichols-1992 Roberts-1987 Roberts-1990 Roberts-1993
Apurinã,South America,-9.0,-67.0,apur1254,apu,Arawakan,,Purus,c990099,apu,BR,Derbyshire-and-Payne-1990 Facundes-2000 Pickering-1977 Polak-1894
Arapesh (Mountain),Papunesia,-3.46666666667,143.166666667,buki1249,ape,Torricelli,,Kombio-Arapesh,c0000dd,ape,PG,Aronoff-1994 Conrad-and-Wogiga-1991 Dobrin-1998 Fortune-1940 Fortune-1942 Fraser-and-Corbett-1997 Gerstner-1963
Burmese,Eurasia,21.0,96.0,nucl1310,mya,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,f9999ff,mya,MM,Bernot-1980 Bradley-1995 Bybee-et-al-1994 Cornyn-1944 Cornyn-and-Roop-1968 Cornyn-and-Roop-1987 Esche-et-al-1988 Lehman-2001 Malherbe-and-Rosenberg-1996 Maun-Maun-Ngun-et-al-1963 Mazo-1978 Njun-et-al-1963 Okell-1969 Okell-1994 Richter-1983 Soe-1999 Stewart-1955 Watkins-2001 Wheatley-1982
Barasano,South America,-0.166666666667,-70.6666666667,bara1380,bsn,Tucanoan,,Tucanoan,ddd0000,bsn,CO,Barasana-1974 Garcia-and-Sanchez-1975 Huber-and-Reed-1992 Jones-and-Jones-1991 Smith-1973 Smith-and-Smith-1971
Basque,Eurasia,43.0,-3.0,basq1248,eus,,,,d990099,eus,FR ES,Allieres-1979 Arotcarena-1976 Aulestia-and-White-1992 Azkue-1906 Bybee-et-al-1994 Eguzkitza-1987 Everaert-2000 Hualde-and-Ortiz-de-Urbina-2003 Ithurry-1895 King-1993b Kuhnel-1999 Lafitte-1944 Lafitte-1962 Malherbe-and-Rosenberg-1996 Mejias-Bikandi-1999 Ndiaye-1970 Nichols-1992 Rebuschi-1984 Saltarelli-et-al-1988 Trask-1995 Trask-1997 Trask-2001 Urbina-1989 Van-Eys-1883 Zuniga-and-Fernandez-2019
Chamorro,Papunesia,13.45,144.75,cham1312,cha,Austronesian,,Chamorro,t9999ff,cha,GU,Chung-1983 Chung-1998 Cooreman-1982 Cooreman-1988 Costenoble-1940 Malherbe-and-Rosenberg-1996 Nichols-1992 Safford-1903-1905 Seiden-1960 Topping-1973 Topping-1980a Topping-1980b Topping-et-al-1975 Witucki-1974
Daga,Papunesia,-10.0,149.333333333,daga1275,dgz,Dagan,,Dagan,sdd0000,dgz,PG,Murane-1974 Murane-and-Murane-1972
