g@@	2310
m@@	2295
n@@	2122
s@@	1992
i@@	1957
o@@	1873
j@@	1677
d@@	1629
eo@@	1446
ha@@	1409
b@@	1371
a@@	1221
l@@	1191
-@@	1114
u@@	1054
e@@	1019
il@@	1007
yeo@@	984
-eul	945
e	905
ng@@	859
eu@@	837
a	817
an@@	808
ga	768
si@@	749
-i	748
ae@@	720
ss@@	685
n	683
deul@@	652
y@@	641
w@@	640
ul@@	627
go	612
h@@	611
eul	600
neun	573
al@@	562
i	560
o	558
eo	555
ja@@	551
-eu@@	547
ila	503
ji@@	489
ga@@	479
tt@@	459
na@@	442
eol@@	421
do@@	420
doe	410
`	409
ang@@	396
ch@@	391
ni	383
-e	381
yeo	377
'	375
l	371
p@@	369
wa	368
ju@@	356
kk@@	355
-i@@	350
eohui@@	339
eul@@	337
eun	335
da@@	333
bo@@	328
ege	326
eon@@	320
ji	318
han@@	316
geos@@	311
hasi@@	306
mal@@	297
sa@@	292
mo@@	291
ui	282
da	280
ham@@	277
geu	273
gi@@	257
yesukkeseo	250
nae@@	249
hayeo	249
la	246
-eun	244
lo	240
ani@@	239
neun@@	234
gal@@	233
sala@@	232
-ui	231
geo@@	207
t@@	197
g	194
eseo	177
ala@@	171
ge	155
eoh@@	136
u	134
neu@@	111
k@@	108
es@@	108
c@@	93
m	74
d	66
yes@@	65
s	58
eohu@@	51
yesu@@	47
ge@@	46
yesukk@@	40
b	26
h	14
t	4
p	1
j	1
]	1
[	1
